"","Brd","Cro","Eye","Heb","Iom","Ios","Loo","Lyn","Ork","Pad","Pem","She","Sbs","Sul","Jer","Idr","Hel","Ale","Sky","The","Tor","Cor","Hoo","Kil","Mul","Ven","Laz","Tar","Sar","Oos","Ber","Flo","Sin","Tro","Vig","Gul","Kav","Lys"
"Kil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.279940791282,138.670848552812,3880.7037782513,3813.64913440666,3590.78588475294,1276.94907736173,1325.63950752369,1546.17067338175,1701.92597973809,1667.32941428712,1227.62532992497,1686.0194315361,1691.28842245115,1690.02530790583
"Mul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.097899473602,3977.13082917208,3910.07618532745,3687.21293567373,1373.37612828252,1215.95863678922,1436.48980264728,1592.24510900361,1557.64854355265,1324.05238084576,1576.33856080162,1581.60755171667,1580.34443717136
"Ven",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742.03584160064,3674.981197756,3452.11794810229,1138.28114071107,1449.00364507508,1669.53481093315,1825.29011728948,1790.69355183852,1088.95739327432,1809.38356908749,1814.65256000255,1813.38944545723
"Laz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.184318431996,289.945138975108,4136.46527582056,5051.28149831389,4903.88389672941,5041.08515144121,5491.95914188098,2669.54118798119,4983.28519366237,4991.19936071512,4988.23128867152
"Tar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.02103426821,4069.41063197593,4984.22685446926,4836.82925288478,4974.03050759658,5424.90449803634,2602.48654413656,4916.23054981774,4924.14471687049,4921.17664482689
"Sar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3846.54738232221,4761.36360481554,4613.96600323107,4751.16725794287,5202.04124838263,2379.62329448284,4693.36730016403,4701.28146721678,4698.31339517317
"Oos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.97795989936,827.595576475603,957.992585595633,1458.34927973726,1476.09341944314,900.192627816786,908.106794869538,905.138722825935
"Ber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.744014318258,623.499320674593,441.736817770327,2390.90964193647,607.592772472598,612.861763387662,611.598648842344
"Flo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.7219221513,907.978886736365,2243.51204035199,157.676742403448,157.499758899509,158.953489913898
"Sin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.7341930927,2380.7132950638,95.72215263593,90.6229794954057,93.7678234605928
"Tro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831.58728550356,1047.8276448907,1053.09663580577,1051.83352126045
"Vig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322.91333728495,2330.8275043377,2327.8594322941
"Gul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8721729090018,5.03445152125651
"Kav",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21813639508998
"Lys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
